symbol,Name,sector,Asset Class,market_cap,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
AAPL,APPLE INC,Information Technology,Equity,"1,559,152,823.45",5.05,"1,559,152,823.45","13,372,955.00",37833100,US0378331005,2046251,116.59,United States,NASDAQ,USD,1.00,-,USD
MSFT,MICROSOFT CORP,Information Technology,Equity,"1,354,877,800.29",4.38,"1,354,877,800.29","6,295,023.00",594918104,US5949181045,2588173,215.23,United States,NASDAQ,USD,1.00,-,USD
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"1,131,814,990.72",3.66,"1,131,814,990.72","354,208.00",23135106,US0231351067,2000019,"3,195.34",United States,NASDAQ,USD,1.00,-,USD
FB,FACEBOOK CLASS A INC,Communication,Equity,"555,625,000.58",1.80,"555,625,000.58","2,000,018.00",30303M102,US30303M1027,B7TL820,277.81,United States,NASDAQ,USD,1.00,-,USD
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"446,810,397.62",1.45,"446,810,397.62","250,031.00",02079K305,US02079K3059,BYVY8G0,"1,787.02",United States,NASDAQ,USD,1.00,-,USD
GOOG,ALPHABET INC CLASS C,Communication,Equity,"438,008,175.78",1.42,"438,008,175.78","244,262.00",02079K107,US02079K1079,BYY88Y7,"1,793.19",United States,NASDAQ,USD,1.00,-,USD
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"381,941,725.00",1.24,"381,941,725.00","1,649,500.00",84670702,US0846707026,2073390,231.55,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
TSLA,TESLA INC,Consumer Discretionary,Equity,"363,560,730.40",1.18,"363,560,730.40","620,665.00",88160R101,US88160R1014,B616C79,585.76,United States,NASDAQ,USD,1.00,-,USD
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"315,529,344.00",1.02,"315,529,344.00","2,191,176.00",478160104,US4781601046,2475833,144.00,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
JPM,JPMORGAN CHASE & CO,Financials,Equity,"307,578,051.88",1.00,"307,578,051.88","2,537,354.00",46625H100,US46625H1005,2190385,121.22,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
V,VISA INC CLASS A,Information Technology,Equity,"296,139,555.00",0.96,"296,139,555.00","1,403,505.00",92826C839,US92826C8394,B2PZN04,211.00,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"287,234,295.28",0.93,"287,234,295.28","2,072,248.00",742718109,US7427181091,2704407,138.61,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
NVDA,NVIDIA CORP,Information Technology,Equity,"272,409,414.80",0.88,"272,409,414.80","513,544.00",67066G104,US67066G1040,2379504,530.45,United States,NASDAQ,USD,1.00,-,USD
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"267,400,769.98",0.87,"267,400,769.98","791,267.00",91324P102,US91324P1021,2917766,337.94,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
MA,MASTERCARD INC CLASS A,Information Technology,Equity,"249,405,651.06",0.81,"249,405,651.06","735,558.00",57636Q104,US57636Q1040,B121557,339.07,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"247,372,044.92",0.80,"247,372,044.92","896,308.00",437076102,US4370761029,2434209,275.99,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
DIS,WALT DISNEY,Communication,Equity,"220,882,590.75",0.71,"220,882,590.75","1,501,275.00",254687106,US2546871060,2270726,147.13,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"208,250,474.38",0.67,"208,250,474.38","3,437,611.00",92343V104,US92343V1044,2090571,60.58,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
PYPL,PAYPAL HOLDINGS INC,Information Technology,Equity,"206,012,238.40",0.67,"206,012,238.40","974,560.00",70450Y103,US70450Y1038,BYW36M8,211.39,United States,NASDAQ,USD,1.00,-,USD
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"195,976,163.25",0.63,"195,976,163.25","3,786,979.00",20030N101,US20030N1019,2044545,51.75,United States,NASDAQ,USD,1.00,-,USD
ADBE,ADOBE INC,Information Technology,Equity,"190,108,380.75",0.62,"190,108,380.75","398,525.00",00724F101,US00724F1012,2008154,477.03,United States,NASDAQ,USD,1.00,-,USD
CRM,SALESFORCE.COM INC,Information Technology,Equity,"187,197,384.28",0.61,"187,197,384.28","755,956.00",79466L302,US79466L3024,2310525,247.63,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
BAC,BANK OF AMERICA CORP,Financials,Equity,"183,611,295.92",0.59,"183,611,295.92","6,333,608.00",60505104,US0605051046,2295677,28.99,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
NFLX,NETFLIX INC,Communication,Equity,"179,963,056.80",0.58,"179,963,056.80","366,255.00",64110L106,US64110L1061,2857817,491.36,United States,NASDAQ,USD,1.00,-,USD
WMT,WALMART INC,Consumer Staples,Equity,"174,882,273.20",0.57,"174,882,273.20","1,153,577.00",931142103,US9311421039,2936921,151.60,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
PFE,PFIZER INC,Health Care,Equity,"171,863,061.96",0.56,"171,863,061.96","4,616,252.00",717081103,US7170811035,2684703,37.23,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
T,AT&T INC,Communication,Equity,"171,820,877.05",0.56,"171,820,877.05","5,918,735.00",00206R102,US00206R1023,2831811,29.03,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
KO,COCA-COLA,Consumer Staples,Equity,"169,240,938.10",0.55,"169,240,938.10","3,211,403.00",191216100,US1912161007,2206657,52.70,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
MRK,MERCK & CO INC,Health Care,Equity,"167,783,703.78",0.54,"167,783,703.78","2,100,973.00",58933Y105,US58933Y1055,2778844,79.86,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"167,646,923.60",0.54,"167,646,923.60","3,533,128.00",458140100,US4581401001,2463247,47.45,United States,NASDAQ,USD,1.00,-,USD
PEP,PEPSICO INC,Consumer Staples,Equity,"166,318,197.00",0.54,"166,318,197.00","1,150,195.00",713448108,US7134481081,2681511,144.60,United States,NASDAQ,USD,1.00,-,USD
ABT,ABBOTT LABORATORIES,Health Care,Equity,"158,277,379.72",0.51,"158,277,379.72","1,470,706.00",2824100,US0028241000,2002305,107.62,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
ABBV,ABBVIE INC,Health Care,Equity,"153,782,270.81",0.50,"153,782,270.81","1,466,129.00",00287Y109,US00287Y1091,B92SR70,104.89,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"150,161,809.00",0.49,"150,161,809.00","3,516,670.00",17275R102,US17275R1023,2198163,42.70,United States,NASDAQ,USD,1.00,-,USD
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"148,960,489.40",0.48,"148,960,489.40","328,541.00",883556102,US8835561023,2886907,453.40,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
CVX,CHEVRON CORP,Energy,Equity,"145,969,626.96",0.47,"145,969,626.96","1,598,616.00",166764100,US1667641005,2838555,91.31,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"142,408,630.96",0.46,"142,408,630.96","366,664.00",22160K105,US22160K1051,2701271,388.39,United States,NASDAQ,USD,1.00,-,USD
XOM,EXXON MOBIL CORP,Energy,Equity,"141,167,334.81",0.46,"141,167,334.81","3,512,499.00",30231G102,US30231G1022,2326618,40.19,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"138,848,599.50",0.45,"138,848,599.50","1,034,254.00",654106103,US6541061031,2640147,134.25,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"134,937,328.19",0.44,"134,937,328.19","618,043.00",580135101,US5801351017,2550707,218.33,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
QCOM,QUALCOMM INC,Information Technology,Equity,"134,722,540.57",0.44,"134,722,540.57","936,679.00",747525103,US7475251036,2714923,143.83,United States,NASDAQ,USD,1.00,-,USD
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"132,170,161.24",0.43,"132,170,161.24","528,427.00",G1151C101,IE00B4BNMY34,B4BNMY3,250.12,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
AVGO,BROADCOM INC,Information Technology,Equity,"131,946,475.80",0.43,"131,946,475.80","334,084.00",11135F101,US11135F1012,BDZ78H9,394.95,United States,NASDAQ,USD,1.00,-,USD
MDT,MEDTRONIC PLC,Health Care,Equity,"127,968,153.32",0.41,"127,968,153.32","1,116,748.00",G5960L103,IE00BTN1Y115,BTN1Y11,114.59,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
NEE,NEXTERA ENERGY INC,Utilities,Equity,"122,210,139.37",0.40,"122,210,139.37","1,626,649.00",65339F101,US65339F1012,2328915,75.13,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"121,967,085.12",0.39,"121,967,085.12","582,432.00",438516106,US4385161066,2020459,209.41,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"120,921,434.40",0.39,"120,921,434.40","760,560.00",882508104,US8825081040,2885409,158.99,United States,NASDAQ,USD,1.00,-,USD
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"118,001,731.90",0.38,"118,001,731.90","1,871,558.00",110122108,US1101221083,2126335,63.05,United States,New York Stock Exchange Inc.,USD,1.00,-,USD
